Localidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Abadia de Goiás;1.682.176,83;359.230,36;843.952,23;524.909,59;1.102.677;944.144;2.116.228;4.646.637;3.565.464;2.370.000;2.819.375
Abadiânia;14.843.437,29;15.326.296,30;19.138.436,47;24.447.300,06;17.306.762;20.822.652;21.229.967;35.531.783;40.681.067;37.894.251;43.155.083
Acreúna;73.946.829,36;66.921.824,54;65.892.466,02;57.529.854,14;79.768.468;89.626.284;89.487.837;160.586.438;175.883.187;138.525.655;144.786.963
Adelândia;47.155,75;53.000,00;96.800,00;-;1.013.365;647.285;1.340.922;2.699.809;7.966.268;840.000;5.645.106
Água Fria de Goiás;97.449.438,98;97.130.008,25;79.667.062,28;81.113.135,54;97.395.702;122.200.333;167.341.415;177.472.154;111.771.836;105.053.474;255.453.433
Água Limpa;324.152,40;13.140,00;338.389,57;243.862,66;74.139;0;-;-;1.115.390;0;1.260.877
Águas Lindas de Goiás;4.208,80;149.965,60;6.034,66;153.857,71;58.417;47.728;-;806.304;1.476.308;280.000;1.554.449
Alexânia;15.114.336,49;19.384.383,89;18.286.696,64;15.341.546,22;17.200.434;20.543.029;20.218.600;29.474.601;38.205.046;85.600.646;82.860.155
Aloândia;4.232.029,45;3.366.721,39;3.761.660,97;6.370.755,49;5.703.124;5.588.598;9.057.391;17.651.700;13.035.200;9.011.990;20.891.653
Alto Horizonte;1.355.749,35;869.241,08;1.286.219,65;1.029.134,44;1.040.729;1.058.977;814.752;3.352.754;5.648.757;660.450;2.776.522
Alto Paraíso de Goiás;22.440.061,94;17.440.779,23;14.571.121,95;20.583.467,16;28.741.829;22.493.826;27.774.864;43.787.399;49.744.301;20.121.982;32.977.206
Alvorada do Norte;10.645.771,74;7.890.206,10;5.959.566,58;8.756.616,13;9.439.197;7.285.563;6.169.492;9.013.935;14.940.819;17.683.746;13.237.827
Amaralina;3.416.664,03;5.763.969,94;6.431.608,52;7.790.107,31;9.891.045;11.159.183;4.741.170;11.156.691;11.282.828;5.440.046;32.486.243
Americano do Brasil;397.062,75;280.775,28;331.974,84;255.889,25;2.073.210;877.089;1.530.068;3.299.863;3.845.821;0;2.302.784
Amorinópolis;5.054.203,33;8.775.560,81;6.405.051,95;9.669.960,02;9.063.840;7.701.896;9.202.458;23.460.609;33.830.009;18.082.630;31.839.252
Anápolis;88.457.474,53;50.427.027,12;29.392.117,00;81.455.389,93;53.879.142;62.293.208;60.457.407;115.429.467;22.147.604;37.248.625;51.251.037
Anhanguera;33.000,00;-;-;-;1.578.477;0;-;-;496.185;0;1.105.836
Anicuns;8.581.942,88;5.881.878,99;4.992.122,15;6.901.757,93;7.585.630;10.633.430;13.954.226;39.366.971;48.770.051;27.064.385;64.069.618
Aparecida de Goiânia;19.126.781,68;15.181.526,22;33.390.000,00;38.252.951,48;62.993.792;15.087.355;6.923.804;32.000.000;-;64.000.000;11.000.000
Aparecida do Rio Doce;2.364.284,63;2.644.616,37;2.823.149,00;2.585.552,94;5.295.227;199.308;1.883.234;7.182.202;12.774.956;7.590.450;21.359.928
Aporé;19.103.725,34;22.564.297,41;22.743.808,81;13.841.975,54;13.565.781;60.732.343;21.064.458;104.265.297;117.507.509;144.330.462;119.339.116
Araçu;1.228.847,31;1.420.929,59;1.923.486,56;803.547,77;39.565;486.804;1.067.923;5.276.708;3.690.097;676.730;4.991.684
Aragarças;-;214.375,70;-;-;148.680;0;-;201.210;-;0;4.323.703
Aragoiânia;690.823,39;106.511,72;84.522,62;242.785,35;1.291.674;521.047;2.713.854;3.169.929;6.288.624;450.000;5.689.666
Araguapaz;1.786.850,52;1.977.398,47;1.032.500,01;1.901.833,00;5.028.526;3.587.858;2.716.270;16.366.490;15.784.434;11.354.332;28.185.258
Arenópolis;9.880.677,09;10.386.403,35;9.625.553,60;11.351.060,85;9.087.012;10.021.756;14.725.595;39.716.599;34.511.855;21.044.182;69.013.648
Aruanã;3.841.093,96;1.814.382,00;1.138.322,90;2.259.844,16;6.133.842;7.293.044;13.099.397;29.513.009;25.039.990;17.119.700;32.032.000
